source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,Wed Jan 04 14:26:45 +0000 2017,13596,54146,FALSE,816652088662958082
Twitter Web Client,"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",Wed Jan 04 18:52:09 +0000 2017,17093,79498,FALSE,816718880731234304
Twitter for Android,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",Thu Jan 05 11:57:57 +0000 2017,13117,53297,FALSE,816977032433270784
Twitter for Android,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is....",Thu Jan 05 12:01:33 +0000 2017,12288,51725,FALSE,816977937731878912
Twitter for Android,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,Thu Jan 05 12:06:42 +0000 2017,16580,78310,FALSE,816979231217483776
Twitter for Android,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",Thu Jan 05 13:25:30 +0000 2017,16324,61944,FALSE,816999062562107392
Twitter for Android,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",Thu Jan 05 13:45:57 +0000 2017,15333,67888,FALSE,817004210529116160
Twitter for Android,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",Thu Jan 05 18:14:30 +0000 2017,32121,107842,FALSE,817071792711942145
Twitter for Android,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",Fri Jan 06 00:24:34 +0000 2017,20594,68079,FALSE,817164923843280896
Twitter for Android,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,Fri Jan 06 00:30:15 +0000 2017,18774,57162,FALSE,817166353266262016
Twitter for Android,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,Fri Jan 06 00:40:03 +0000 2017,20758,71070,FALSE,817168818539757568
Twitter for Android,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",Fri Jan 06 11:19:49 +0000 2017,19129,65840,FALSE,817329823374831617
Twitter for Android,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,Fri Jan 06 11:39:35 +0000 2017,10555,51431,FALSE,817334794958807042
Twitter for Android,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,Fri Jan 06 11:45:47 +0000 2017,8277,41623,FALSE,817336355193753600
Twitter for Android,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",Fri Jan 06 12:05:01 +0000 2017,14381,66190,FALSE,817341196251070464
Twitter for Android,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",Fri Jan 06 12:34:37 +0000 2017,9331,39031,FALSE,817348644647108609
Twitter for Android,"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp; Hillary",Fri Jan 06 12:42:53 +0000 2017,8809,41032,FALSE,817350726800306177
Twitter for iPhone,"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse, a friend. Will go this AM.",Fri Jan 06 14:18:51 +0000 2017,6471,34982,FALSE,817374875962769408
Twitter for iPhone,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,Fri Jan 06 16:51:37 +0000 2017,26007,92540,FALSE,817413321058029568
Twitter Web Client,Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,Fri Jan 06 19:30:09 +0000 2017,22189,96091,FALSE,817453219613917185
