na_item,unit,geo,time,values
B1GQ,CP_MPPS,FI,2005-01-01,142622.8
B1GQ,CP_MPPS,FR,2005-01-01,1643002.3
B1GQ,CP_MPPS,HR,2005-01-01,56087.9
B1GQ,CP_MPPS,HU,2005-01-01,146416.7
B1GQ,CP_MPPS,IE,2005-01-01,142944.6
B1GQ,CP_MPPS,IS,2005-01-01,9320.6
B1GQ,CP_MPPS,IT,2005-01-01,1480340.1
B1GQ,CP_MPPS,LT,2005-01-01,41011.9
B1GQ,CP_MPPS,LU,2005-01-01,26965.3
B1GQ,CP_MPPS,LV,2005-01-01,26344
B1GQ,CP_MPPS,MK,2005-01-01,13585.1
B1GQ,CP_MPPS,MT,2005-01-01,7640
B1GQ,CP_MPPS,NL,2005-01-01,516787.7
B1GQ,CP_MPPS,NO,2005-01-01,187682.1
B1GQ,CP_MPPS,PL,2005-01-01,450661.3
B1GQ,CP_MPPS,PT,2005-01-01,202956
B1GQ,CP_MPPS,RO,2005-01-01,176156.3
B1GQ,CP_MPPS,RS,2005-01-01,55052.8
B1GQ,CP_MPPS,SE,2005-01-01,260627.5
B1GQ,CP_MPPS,SI,2005-01-01,40704.7
B1GQ,CP_MPPS,SK,2005-01-01,75861.9
B1GQ,CP_MPPS,TR,2005-01-01,685942.9
B1GQ,CP_MPPS,UK,2005-01-01,1664856.6
B1GQ,CP_EUR_HAB,AL,2006-01-01,2400
B1GQ,CP_EUR_HAB,AT,2006-01-01,32400
B1GQ,CP_EUR_HAB,BE,2006-01-01,31e3
B1GQ,CP_EUR_HAB,BG,2006-01-01,3600
B1GQ,CP_EUR_HAB,CH,2006-01-01,45600
B1GQ,CP_EUR_HAB,CY,2006-01-01,21700
B1GQ,CP_EUR_HAB,CZ,2006-01-01,12100
B1GQ,CP_EUR_HAB,DE,2006-01-01,29500
B1GQ,CP_EUR_HAB,DK,2006-01-01,41500
B1GQ,CP_EUR_HAB,EA,2006-01-01,27800
B1GQ,CP_EUR_HAB,EA18,2006-01-01,27200
B1GQ,CP_EUR_HAB,EA19,2006-01-01,27e3
B1GQ,CP_EUR_HAB,EE,2006-01-01,1e4
B1GQ,CP_EUR_HAB,EL,2006-01-01,19800
B1GQ,CP_EUR_HAB,ES,2006-01-01,22700
B1GQ,CP_EUR_HAB,EU28,2006-01-01,24700
B1GQ,CP_EUR_HAB,FI,2006-01-01,32800
B1GQ,CP_EUR_HAB,FR,2006-01-01,29200
B1GQ,CP_EUR_HAB,HR,2006-01-01,9300
B1GQ,CP_EUR_HAB,HU,2006-01-01,9100
B1GQ,CP_EUR_HAB,IE,2006-01-01,43300
B1GQ,CP_EUR_HAB,IS,2006-01-01,44800
B1GQ,CP_EUR_HAB,IT,2006-01-01,26500
B1GQ,CP_EUR_HAB,LT,2006-01-01,7400
B1GQ,CP_EUR_HAB,LU,2006-01-01,71500
B1GQ,CP_EUR_HAB,LV,2006-01-01,7800
B1GQ,CP_EUR_HAB,MK,2006-01-01,2700
B1GQ,CP_EUR_HAB,MT,2006-01-01,13300
B1GQ,CP_EUR_HAB,NL,2006-01-01,35400
B1GQ,CP_EUR_HAB,NO,2006-01-01,59100
B1GQ,CP_EUR_HAB,PL,2006-01-01,7200
B1GQ,CP_EUR_HAB,PT,2006-01-01,15800
B1GQ,CP_EUR_HAB,RO,2006-01-01,4600
B1GQ,CP_EUR_HAB,RS,2006-01-01,3300
B1GQ,CP_EUR_HAB,SE,2006-01-01,36900
B1GQ,CP_EUR_HAB,SI,2006-01-01,15700
B1GQ,CP_EUR_HAB,SK,2006-01-01,8400
B1GQ,CP_EUR_HAB,UK,2006-01-01,35300
B1GQ,CP_MEUR,AL,2006-01-01,7090.8
B1GQ,CP_MEUR,AT,2006-01-01,267824.5
B1GQ,CP_MEUR,BE,2006-01-01,326662
B1GQ,CP_MEUR,BG,2006-01-01,27210.9
B1GQ,CP_MEUR,CH,2006-01-01,343498.6
B1GQ,CP_MEUR,CY,2006-01-01,16263.8
B1GQ,CP_MEUR,CZ,2006-01-01,123943.2
B1GQ,CP_MEUR,DE,2006-01-01,2393250
B1GQ,CP_MEUR,DK,2006-01-01,225531.2
B1GQ,CP_MEUR,EA,2006-01-01,8750844.5
B1GQ,CP_MEUR,EA18,2006-01-01,8880371.5
B1GQ,CP_MEUR,EA19,2006-01-01,8904450.7
B1GQ,CP_MEUR,EE,2006-01-01,13521.7
B1GQ,CP_MEUR,EL,2006-01-01,217861.6
B1GQ,CP_MEUR,ES,2006-01-01,1007974
B1GQ,CP_MEUR,EU28,2006-01-01,12255850.9
B1GQ,CP_MEUR,FI,2006-01-01,172614
B1GQ,CP_MEUR,FR,2006-01-01,1853267
B1GQ,CP_MEUR,HR,2006-01-01,40197.8
B1GQ,CP_MEUR,HU,2006-01-01,91792
B1GQ,CP_MEUR,IE,2006-01-01,184995.4
B1GQ,CP_MEUR,IS,2006-01-01,13629.2
B1GQ,CP_MEUR,IT,2006-01-01,1548473.4
B1GQ,CP_MEUR,LT,2006-01-01,24079.2
B1GQ,CP_MEUR,LU,2006-01-01,33808.4
B1GQ,CP_MEUR,LV,2006-01-01,17264.1
B1GQ,CP_MEUR,MK,2006-01-01,5472.2
B1GQ,CP_MEUR,MT,2006-01-01,5386.1
B1GQ,CP_MEUR,NL,2006-01-01,579212
B1GQ,CP_MEUR,NO,2006-01-01,275289.8
B1GQ,CP_MEUR,PL,2006-01-01,274602.5
B1GQ,CP_MEUR,PT,2006-01-01,166248.7
B1GQ,CP_MEUR,RO,2006-01-01,98418.6
B1GQ,CP_MEUR,RS,2006-01-01,24434.6
B1GQ,CP_MEUR,SE,2006-01-01,334876.5
B1GQ,CP_MEUR,SI,2006-01-01,31561.2
B1GQ,CP_MEUR,SK,2006-01-01,45530.2
B1GQ,CP_MEUR,TR,2006-01-01,436278.4
B1GQ,CP_MEUR,UK,2006-01-01,2146649
B1GQ,CP_MPPS,AL,2006-01-01,16246.9
B1GQ,CP_MPPS,AT,2006-01-01,257471.5
B1GQ,CP_MPPS,BA,2006-01-01,23081.3
B1GQ,CP_MPPS,BE,2006-01-01,308920.7
B1GQ,CP_MPPS,BG,2006-01-01,71172.5
